"시점","사용액","시도","광역","체감BSI","대형소매점판매지수","소비자물가지수","동행종합지수","총인구수","인구밀도","사업체수","인구대비업체수","소비자심리지수"
"2022.05",31733771588,"세종","세종","63.8",109.5,108.33,101.3,379340,815.960421596042,11932,0.0314546317287921,103.4
"2022.06",30963753325,"세종","세종","59.6",103.7,109.04,101.1,380215,817.842546784255,11932,0.0313822442565391,95
"2022.07",30983828628,"세종","세종","52.1",109.3,109.28,101,380889,819.292320929232,12404,0.032565918154633,87.3
"2022.08",30354766661,"세종","세종","59.6",100.8,109.36,101.1,381439,820.475371047537,12404,0.032518961092075,90
"2022.09",29838460923,"세종","세종","69.1",114.8,109.36,101,381925,821.520757152076,12404,0.0324775806768345,90
"2022.10",30043599613,"세종","세종","63.8",107.5,109.82,100.7,382258,822.237040223704,13399,0.0350522422029101,86.6
"2022.11",29167553919,"세종","세종","61.7",101.3,109.59,100.4,382770,823.338352333835,13399,0.0350053556966324,87
"2022.12",30157131324,"세종","세종","63.8",117.9,109.57,100.2,383591,825.104323510432,13399,0.0349304337171623,88.9
"2023.01",26026923332,"세종","세종","73.4",120.1,110.12,99.8,384496,827.050978705098,13690,0.0356050518080812,87.9
"2023.02",24502919831,"세종","세종","59.4",90.1,110.33,99.4,385285,828.748117874812,13690,0.03553213854679,89.7
"2021.01",2517076840,"통영","경남","36.0",103.6,101.18,100,128084,533.97256847459,8120,0.0633958964429593,90.9
"2021.02",3686093645,"통영","경남","39.8",103.9,101.63,100.5,127720,532.455079834911,8120,0.0635765737550893,94.4
"2021.03",3719596000,"통영","경남","47.7",95.9,101.85,100.6,126988,529.403426856214,8120,0.063943049736983,98.9
"2021.04",3100194000,"통영","경남","52.0",98,102.07,100.6,126798,528.6113311377,8029,0.063321188031357,101.7
"2021.05",3153620000,"통영","경남","56.1",108,102.14,100.1,126587,527.731687997665,8029,0.063426734182815,101.3
"2021.06",3124739000,"통영","경남","56.4",97,102.08,99.4,126413,527.0062950765,8029,0.0635140373221109,109.1
"2021.07",3060539000,"통영","경남","37.1",103.9,102.26,99.6,126312,526.585233668237,8143,0.0644673506871873,104.8
"2021.08",3455066000,"통영","경남","35.1",95.8,102.74,99.6,126141,525.872347521574,8143,0.0645547442940836,100.7
"2021.09",4115731000,"통영","경남","59.6",108.7,103.14,100.6,125881,524.78842706466,8143,0.0646880784232728,102.9
"2021.10",3008444000,"통영","경남","62.6",108.9,103.27,100.3,125744,524.217284362363,7645,0.0607981295330195,104.8
"2021.11",2967207260,"통영","경남","67.5",104.7,103.9,100.1,125595,523.596114562054,7645,0.060870257573948,106.8
"2021.12",3810896992,"통영","경남","36.5",103.3,104.15,98.6,125383,522.712302497186,7645,0.0609731781820502,104.9
"2022.01",4576791000,"통영","경남","44.8",116.3,104.9,98.5,125128,521.649226664443,7876,0.0629435458090915,105.4
"2022.02",4602779000,"통영","경남","39.2",87.5,105.49,98.9,124941,520.869637720432,7876,0.0630377538198029,105.3
"2022.03",3899938000,"통영","경남","54.4",97,106.4,100.1,124872,520.581981906866,7876,0.0630725863284003,104.5
"2022.04",3604315000,"통영","경남","82.6",102.4,107.24,100.9,124554,519.256263809564,8040,0.064550315525796,104.2
"2022.05",2586983000,"통영","경남","72.7",107.8,107.91,101,124346,518.389127444032,8040,0.0646582921847104,104.8
"2022.06",2043078000,"통영","경남","68.6",98,108.67,100.3,124115,517.426105807312,8040,0.0647786327196552,101.4
"2022.07",2587823000,"통영","경남","53.5",107.5,109.2,99.7,123997,516.934172676867,8240,0.0664532206424349,87.7
"2022.08",3207236000,"통영","경남","65.1",107.2,108.87,99.9,123645,515.466711135198,8240,0.066642403655627,91.6
"2022.09",4863085000,"통영","경남","73.0",122.3,109.1,100.1,123344,514.211864760078,8240,0.0668050330782203,91.5
"2022.10",4017255000,"통영","경남","60.8",118.1,109.37,100.3,123158,513.436444740901,8393,0.0681482323519382,88.7
"2022.11",2752858000,"통영","경남","56.1",107.8,109.27,100.2,123008,512.811106015759,8393,0.0682313345473465,91.4
"2022.12",2068730000,"통영","경남","59.9",115.1,109.38,100.1,122681,511.447867594947,8393,0.0684132017182775,93.9
"2023.01",3189093000,"통영","경남","61.3",130.4,110.14,100.1,122511,510.739150373119,7123,0.0581417178865571,93
"2023.02",3064882000,"통영","경남","52.9",95.9,110.52,100,122172,509.325884854296,7123,0.0583030481616082,93.7
"2020.01",2308026000,"평택","경기","64.3",113.4,100.08,101.2,514876,1123.57010365521,25945,0.0503907737008522,105.3
"2020.02",1752906000,"평택","경기","44.4",85.7,100.14,100.4,517087,1128.39498090562,25945,0.0501753089905567,98.4
"2020.03",2284672000,"평택","경기","27.6",89.9,99.88,99.4,519124,1132.84015275505,25945,0.0499784251932101,81.5
"2020.04",2265319000,"평택","경기","72.1",92.3,99.46,98.2,520649,1136.16803055101,25086,0.0481821726345388,76.3
"2020.05",3871679000,"평택","경기","87.7",99.9,99.42,98.1,522111,1139.35842880524,25086,0.0480472543194838,81.3
"2020.06",5144991000,"평택","경기","78.7",96,99.75,97.9,523881,1143.2209492635,25086,0.0478849204304031,84.6
